"","planning_unit_name","gauge","ewr_code_timing","state","LTWPShortName","env_obj","Target","SWSDLName"
"1","Murray River - Barmah to Barham","409003","OB3","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"2","Edward River - Stevens Weir to Wakool River","409003","OB3","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"3","Murray River - Hume to Yarrawonga","409003","OB3","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"4","Upper Wakool River and Yallakool Creek","409003","OB3","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"5","Murray River - Yarrawonga to Barmah","409003","OB3","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"6","Murray River - Barmah to Barham","409003","OB4","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"7","Edward River - Stevens Weir to Wakool River","409003","OB4","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"8","Murray River - Hume to Yarrawonga","409003","OB4","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"9","Upper Wakool River and Yallakool Creek","409003","OB4","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"10","Murray River - Yarrawonga to Barmah","409003","OB4","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"11","Murray River - Barmah to Barham","409017","SF2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"12","Edward River - Stevens Weir to Wakool River","409017","SF2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"13","Murray River - Hume to Yarrawonga","409017","SF2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"14","Upper Wakool River and Yallakool Creek","409017","SF2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"15","Murray River - Yarrawonga to Barmah","409017","SF2","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"16","Murray River - Barmah to Barham","409017","LF1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"17","Edward River - Stevens Weir to Wakool River","409017","LF1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"18","Murray River - Hume to Yarrawonga","409017","LF1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"19","Upper Wakool River and Yallakool Creek","409017","LF1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
"20","Murray River - Yarrawonga to Barmah","409017","LF1_P","NSW","Murray Lower Darling","NV4","Native Vegetation","New South Wales Murray"
