"Date","425007_level","425007_flow","425010_level","425010_flow","425012_level","425012_flow","425013_level","425013_flow","425019_level","425019_flow","425020_level","425022_level","425023_level","414203_flow","A4260505_flow","A4260509_level","A4260507_level","A4260509_flow","A4260507_flow","A4260505_level"
"2019-12-31",0.51,0,27.614,5637.565,0.648,0,0.289,0,51.501,0,56.446,53.062,53,43.371,24.091,20.537,21.624,21.424,25.057,23.616
"2020-01-01",0.51,0,27.63,5855.612,0.635,0,0.289,0,51.501,0,56.446,53.062,53,43.351,26.348,20.548,21.627,21.349,26.564,23.633
"2020-01-02",0.51,0,27.629,5847.123,0.624,0,0.289,0,51.501,0,56.446,53.062,53,43.334,27.74,20.631,21.651,22.812,28.351,23.649
"2020-01-03",0.51,0,27.628,5827.565,0.607,0,0.289,0,51.501,0,56.446,53.062,53,43.326,26.177,20.624,21.653,23.463,28.048,23.643
"2020-01-04",0.51,0,27.612,5597.666,0.593,0,0.289,0,51.501,0,56.446,53.062,53,43.313,24.943,20.602,21.632,22.261,26.248,23.626
"2020-01-05",0.51,0,27.646,6096.792,0.592,0,0.289,0,51.501,0,56.446,53.062,53,43.335,27.983,20.604,21.639,22.401,27.839,23.648
"2020-01-06",0.51,0,27.681,6628.69,0.592,0,0.289,0,51.501,0,56.446,53.062,53,43.378,32.479,20.606,21.71,26.78,32.384,23.707
"2020-01-07",0.51,0,27.673,6496.411,0.592,0,0.289,0,51.501,0,56.446,53.062,53,43.413,37.932,20.566,21.812,35.344,38.095,23.767
"2020-01-08",0.51,0,27.653,6194.512,0.592,0,0.289,0,51.501,0,56.446,53.062,53,43.432,38.397,20.585,21.708,34.82,37.545,23.67
"2020-01-09",0.51,0,27.643,6049.509,0.592,0,0.289,0,51.501,0,56.446,53.062,53,43.423,40.516,20.629,21.723,36.215,40.041,23.695
"2020-01-10",0.51,0,27.64,6005.031,0.592,0,0.289,0,51.501,0,56.446,53.062,53,43.414,39.344,20.609,21.709,35.19,38.908,23.688
"2020-01-11",0.51,0,27.656,6245.165,0.592,0,0.289,0,51.501,0,56.446,53.062,53,43.429,40.077,20.598,21.703,34.834,38.662,23.681
"2020-01-12",0.51,0,27.672,6486.859,0.592,0,0.289,0,51.501,0,56.446,53.062,53,43.439,41.3,20.593,21.721,35.86,39.969,23.689
"2020-01-13",0.51,0,27.657,6254.563,0.592,0,0.289,0,51.501,0,56.446,53.062,53,43.442,44.074,20.597,21.762,38.218,42.614,23.722
"2020-01-14",0.51,0,27.643,6048.759,0.592,0,0.289,0,51.501,0,56.446,53.062,53,43.454,42.271,20.588,21.779,36.808,40.565,23.737
