"Date","425013_flow","425007_flow","425012_flow","425010_flow","425019_flow","425013_level","425020_level","425007_level","425012_level","425022_level","425023_level","425010_level","425019_level","414203_flow","414203_level","414209_level","A4260506_level","A4260501_level","A4260508_level","A4260505_flow","A4260509_level","A4260507_level","A4260509_flow","A4260507_flow","A4260505_level"
1962-05-30,0,11988.3,14520.426,0,0,NA,NA,0.416,NA,NA,NA,NA,0.03,7229.751,NA,NA,NA,NA,NA,128.966,NA,NA,140.886,NA,NA
1962-05-31,0,12164.3,14476.387,0,0,NA,NA,0.416,NA,NA,NA,NA,0.03,7364.502,NA,NA,NA,NA,NA,130.3,NA,NA,141.391,NA,NA
1962-06-01,5260.137,12396.8,14451.922,0,0,NA,NA,0.416,NA,NA,NA,NA,0.03,7487,NA,NA,NA,NA,NA,133.348,NA,NA,144.402,NA,NA
1962-06-02,0,12624.4,14447.027,0,0,NA,NA,0.416,NA,NA,NA,NA,0.031,7560.127,NA,NA,NA,NA,NA,135.9,NA,NA,146.947,NA,NA
1962-06-03,0,12864,14263.531,0,0,NA,NA,0.416,NA,NA,NA,NA,0.031,7792.253,NA,NA,NA,NA,NA,136.697,NA,NA,147.76,NA,NA
1962-06-04,0,13077,14165.672,0,0,NA,NA,0.416,NA,NA,NA,NA,0.032,8017.251,NA,NA,NA,NA,NA,139.52,NA,NA,150.585,NA,NA
1962-06-05,0,13260.4,13982.176,0,0,NA,NA,0.416,NA,NA,NA,NA,0.032,8044.749,NA,NA,NA,NA,NA,144.116,NA,NA,155.181,NA,NA
1962-06-06,0,13444,13810.918,0,0,NA,NA,0.416,NA,NA,NA,NA,0.033,8132.005,NA,NA,NA,NA,NA,152.112,NA,NA,163.161,NA,NA
1962-06-07,0,13615.2,13554.027,0,0,NA,NA,0.417,NA,NA,NA,NA,0.033,8713.01,NA,NA,NA,NA,NA,159.133,NA,NA,170.111,NA,NA
1962-06-08,0,13830.4,13333.836,0,0,NA,NA,0.417,NA,NA,NA,NA,0.034,9794.017,NA,NA,NA,NA,NA,174.004,NA,NA,184.927,NA,NA
1962-06-09,0,13945.5,12920.363,0,0,NA,NA,0.417,NA,NA,NA,NA,0.034,11011.134,NA,NA,NA,NA,NA,175.405,NA,NA,186.305,NA,NA
1962-06-10,0,14092.3,11731.328,0,0,NA,NA,0.417,NA,NA,NA,NA,0.035,11871.761,NA,NA,NA,NA,NA,177.433,NA,NA,188.345,NA,NA
1962-06-11,0,14165.7,9823,0,0,NA,NA,0.417,NA,NA,NA,NA,0.035,13058.644,NA,NA,NA,NA,NA,189.009,NA,NA,199.881,NA,NA
1962-06-12,0,14263.5,9052.329,0,0,NA,NA,0.417,NA,NA,NA,NA,0.036,14425.761,NA,NA,NA,NA,NA,204.596,NA,NA,215.433,NA,NA
1962-06-13,0,14336.9,8685.339,0,0,NA,NA,0.417,NA,NA,NA,NA,0.036,15022,NA,NA,NA,NA,NA,211.381,NA,NA,222.087,NA,NA
1962-06-14,0,14361.4,8396.645,0,0,NA,NA,0.417,NA,NA,NA,NA,0.037,15067.751,NA,NA,NA,NA,NA,238.407,NA,NA,249.007,NA,NA
1962-06-15,0,14337,8244.957,0,0,NA,NA,0.417,NA,NA,NA,NA,0.037,15327.756,NA,NA,NA,NA,NA,265.39,NA,NA,275.774,NA,NA
1962-06-16,0,14263.5,8132.414,0,0,NA,NA,0.418,NA,NA,NA,NA,0.038,15725.503,NA,NA,NA,NA,NA,265.758,NA,NA,276.072,NA,NA
1962-06-17,4318.203,14263.5,8024.766,0,0,NA,NA,0.418,NA,NA,NA,NA,0.038,15924.126,NA,NA,NA,NA,NA,269.144,NA,NA,279.488,NA,NA
1962-06-18,3180.5,14067.8,7953.816,0,0,NA,NA,0.418,NA,NA,NA,NA,0.039,16253.008,NA,NA,NA,NA,NA,273.218,NA,NA,283.607,NA,NA
1962-06-19,2502.875,13798.7,6923.809,0,0,NA,NA,0.418,NA,NA,NA,NA,0.039,16723.627,NA,NA,NA,NA,NA,277.303,NA,NA,287.693,NA,NA
1962-06-20,2123.625,13431.7,5260.136,0,0,NA,NA,0.418,NA,NA,NA,NA,0.039,16858.627,NA,NA,NA,NA,NA,281.228,NA,NA,291.61,NA,NA
1962-06-21,1810.437,12820.1,3963.453,0,0,NA,NA,0.418,NA,NA,NA,NA,0.04,17043.878,NA,NA,NA,NA,NA,286.456,NA,NA,296.84,NA,NA
1962-06-22,1639.188,11951.5,3841.124,0,0,NA,NA,0.418,NA,NA,NA,NA,0.04,17464.008,NA,NA,NA,NA,NA,292.959,NA,NA,303.351,NA,NA
1962-06-23,1448.375,10936.2,3792.191,0,0,NA,NA,0.418,NA,NA,NA,NA,0.041,17884,NA,NA,NA,NA,NA,286.815,NA,NA,297.208,NA,NA
1962-06-24,1340.75,9835.2,3161,0,0,NA,NA,0.418,NA,NA,NA,NA,0.041,17934.627,NA,NA,NA,NA,NA,279.711,NA,NA,290.124,NA,NA
1962-06-25,1230.625,8636.4,2055.125,0,0,NA,NA,0.418,NA,NA,NA,NA,0.042,18170.505,NA,NA,NA,NA,NA,265.243,NA,NA,275.779,NA,NA
1962-06-26,1137.687,7535.5,1656.313,0,0,NA,NA,0.419,NA,NA,NA,NA,0.042,18423,NA,NA,NA,NA,NA,256.691,NA,NA,267.41,NA,NA
1962-06-27,1064.25,6569,1969.5,0,0,NA,NA,0.419,NA,NA,NA,NA,0.043,18473.252,NA,NA,NA,NA,NA,242.114,NA,NA,252.88,NA,NA
1962-06-28,1030,5737.2,2020.875,0,0,NA,NA,0.419,NA,NA,NA,NA,0.043,18557,NA,NA,NA,NA,NA,248.159,NA,NA,258.95,NA,NA
1962-06-29,978.625,5093.8,2055.125,0,0,NA,NA,0.419,NA,NA,NA,NA,0.044,18607.627,NA,NA,NA,NA,NA,245.459,NA,NA,256.267,NA,NA
1962-06-30,949.282,4562.9,2060,0,0,NA,NA,0.419,NA,NA,NA,NA,0.044,18843.505,NA,NA,NA,NA,NA,241.594,NA,NA,252.404,NA,NA
1962-07-01,932.156,3963.4,1837.375,0,0,NA,NA,0.419,NA,NA,NA,NA,0.045,19146.252,NA,NA,NA,NA,NA,234.942,NA,NA,245.775,NA,NA
1962-07-02,900.344,3491.3,1901,0,0,NA,NA,0.419,NA,NA,NA,NA,0.045,19330.878,NA,NA,NA,NA,NA,219.358,NA,NA,230.299,NA,NA
1962-07-03,883.218,3131.6,2003.75,0,0,NA,NA,0.419,NA,NA,NA,NA,0.046,19499,NA,NA,NA,NA,NA,211.77,NA,NA,222.097,NA,NA
1962-07-04,868.532,2813.5,1798.25,0,0,NA,NA,0.419,NA,NA,NA,NA,0.046,19398.122,NA,NA,NA,NA,NA,211.169,NA,NA,218.843,NA,NA
1962-07-05,853.843,2605.6,1729.75,0,0,NA,NA,0.42,NA,NA,NA,NA,0.047,19179.748,NA,NA,NA,NA,NA,215.801,NA,NA,223.939,NA,NA
1962-07-06,836.719,2458.8,1729.75,0,0,NA,NA,0.42,NA,NA,NA,NA,0.047,18994.747,NA,NA,NA,NA,NA,230.985,NA,NA,241.415,NA,NA
1962-07-07,836.719,2373.1,1712.625,0,0,NA,NA,0.42,NA,NA,NA,NA,0.048,18775.748,NA,NA,NA,NA,NA,222.108,NA,NA,231.642,NA,NA
1962-07-08,822.062,2316.9,1450.812,0,0,NA,NA,0.42,NA,NA,NA,NA,0.048,18692,NA,NA,NA,NA,NA,211.371,NA,NA,222.27,NA,NA
1962-07-09,804.938,2250.9,1883.875,0,0,NA,NA,0.42,NA,NA,NA,NA,0.048,18641.373,NA,NA,NA,NA,NA,206.853,NA,NA,218.025,NA,NA
1962-07-10,790.25,2177.5,1935.25,0,0,NA,NA,0.42,NA,NA,NA,NA,0.049,18506.748,NA,NA,NA,NA,NA,217.917,NA,NA,229.818,NA,NA
1962-07-11,787.812,2116.2,1935.25,0,0,NA,NA,0.42,NA,NA,NA,NA,0.049,18423,NA,NA,NA,NA,NA,210.849,NA,NA,225.375,NA,NA
1962-07-12,773.125,2042.9,2033.125,0,0,NA,NA,0.42,NA,NA,NA,NA,0.05,18423,NA,NA,NA,NA,NA,182.076,NA,NA,196.89,NA,NA
1962-07-13,756,1986.6,2348.75,0,0,NA,NA,0.42,NA,NA,NA,NA,0.05,18220.869,NA,NA,NA,NA,NA,186.726,NA,NA,201.728,NA,NA
