scenario,gauge,planningUnit,state,sWSDLName,ewrCode,multigauge,eventYears,frequency,targetFrequency,achievementCount,achievementPerYear,eventCount,eventCountAll,eventsPerYear,eventsPerYearAll,averageEventLength,thresholdDays,maxInterEventYears,noDataDays,totalDays
hydrographs_LowerDarling,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,BF1_a,,0.0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1925.0
hydrographs_LowerDarling,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,BF1_b,,0.0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1925.0
hydrographs_LowerDarling,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,BK1_P,,0.0,0,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,1925.0
hydrographs_LowerDarling,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,BK1_S,,0.0,0,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,1925.0
hydrographs_LowerDarling,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,LF1,,0.0,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,1925.0
hydrographs_LowerDarling,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,LF2,,0.0,0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1925.0
hydrographs_LowerDarling,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,OB1_P,,0.0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,1925.0
hydrographs_LowerDarling,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,OB1_S,,0.0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,1925.0
hydrographs_LowerDarling,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,OB2,,0.0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,1925.0
hydrographs_LowerDarling,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,OB3,,0.0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,1925.0
hydrographs_LowerDarling,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,OB4,,0.0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,1925.0
hydrographs_LowerDarling,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,OB5,,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,1925.0
hydrographs_LowerDarling,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,SF1,,0.0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1925.0
hydrographs_LowerDarling,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,SF2_P,,0.0,0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1925.0
hydrographs_LowerDarling,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,SF2_S,,0.0,0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1925.0
hydrographs_LowerDarling,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,VF,,0.0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1925.0
hydrographs_LowerDarling,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,BF1a,,4.0,67,100,4.0,0.6666666666666666,4.0,8.0,0.6666666666666666,1.3333333333333333,122.875,983.0,0.010959,0.0,1925.0
hydrographs_LowerDarling,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,BF1b,,3.0,43,100,3.0,0.42857142857142855,3.0,9.0,0.42857142857142855,1.2857142857142858,70.77777777777777,637.0,0.082192,0.0,1925.0
hydrographs_LowerDarling,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,BF2a,,3.0,43,75,3.0,0.42857142857142855,3.0,7.0,0.42857142857142855,1.0,103.85714285714286,727.0,2,0.0,1925.0
