year,eventYears,numAchieved,numEvents,numEventsAll,eventLength,eventLengthAchieved,totalEventDays,totalEventDaysAchieved,maxEventDays,maxRollingEvents,maxRollingAchievement,missingDays,totalPossibleDays,ewrCode,scenario,gauge,pu,state,SWSDLName,multigauge,rollingMaxInterEvent,rollingMaxInterEventAchieved
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,BF1_b,hydrographs_LowerDarling,425010,Murray River - Lock 10 to Lock 9,NSW,Lower Darling,,183,1
2020,0.0,0.0,0.0,4.0,23.75,23.75,95.0,95.0,41.0,41.0,0.0,0.0,365.0,BF1_b,hydrographs_LowerDarling,425010,Murray River - Lock 10 to Lock 9,NSW,Lower Darling,,202,1
2021,1.0,1.0,1.0,1.0,176.0,176.0,176.0,176.0,176.0,176.0,1.0,0.0,365.0,BF1_b,hydrographs_LowerDarling,425010,Murray River - Lock 10 to Lock 9,NSW,Lower Darling,,210,1
2022,1.0,1.0,1.0,1.0,184.0,184.0,184.0,184.0,184.0,184.0,1.0,0.0,365.0,BF1_b,hydrographs_LowerDarling,425010,Murray River - Lock 10 to Lock 9,NSW,Lower Darling,,181,1
2023,1.0,1.0,1.0,1.0,178.0,178.0,178.0,178.0,178.0,178.0,1.0,0.0,366.0,BF1_b,hydrographs_LowerDarling,425010,Murray River - Lock 10 to Lock 9,NSW,Lower Darling,,188,1
2024,0.0,0.0,0.0,2.0,49.5,49.5,99.0,99.0,80.0,80.0,0.0,0.0,281.0,BF1_b,hydrographs_LowerDarling,425010,Murray River - Lock 10 to Lock 9,NSW,Lower Darling,,200,1
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,BK1_P,hydrographs_LowerDarling,425010,Murray River - Lock 10 to Lock 9,NSW,Lower Darling,,183,1
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,BK1_P,hydrographs_LowerDarling,425010,Murray River - Lock 10 to Lock 9,NSW,Lower Darling,,548,1
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,BK1_P,hydrographs_LowerDarling,425010,Murray River - Lock 10 to Lock 9,NSW,Lower Darling,,913,1
2022,1.0,1.0,1.0,1.0,192.0,192.0,192.0,192.0,192.0,192.0,1.0,0.0,365.0,BK1_P,hydrographs_LowerDarling,425010,Murray River - Lock 10 to Lock 9,NSW,Lower Darling,,944,1
2023,1.0,1.0,1.0,1.0,42.0,42.0,42.0,42.0,42.0,42.0,1.0,0.0,366.0,BK1_P,hydrographs_LowerDarling,425010,Murray River - Lock 10 to Lock 9,NSW,Lower Darling,,293,1
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,BK1_P,hydrographs_LowerDarling,425010,Murray River - Lock 10 to Lock 9,NSW,Lower Darling,,574,1
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,OB4,hydrographs_LowerDarling,425010,Murray River - Lock 10 to Lock 9,NSW,Lower Darling,,183,1
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,OB4,hydrographs_LowerDarling,425010,Murray River - Lock 10 to Lock 9,NSW,Lower Darling,,548,1
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,OB4,hydrographs_LowerDarling,425010,Murray River - Lock 10 to Lock 9,NSW,Lower Darling,,913,1
2022,1.0,1.0,1.0,1.0,74.0,74.0,74.0,74.0,74.0,74.0,1.0,0.0,365.0,OB4,hydrographs_LowerDarling,425010,Murray River - Lock 10 to Lock 9,NSW,Lower Darling,,1043,1
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,OB4,hydrographs_LowerDarling,425010,Murray River - Lock 10 to Lock 9,NSW,Lower Darling,,527,1
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,OB4,hydrographs_LowerDarling,425010,Murray River - Lock 10 to Lock 9,NSW,Lower Darling,,808,1
