year,eventYears,numAchieved,numEvents,numEventsAll,eventLength,eventLengthAchieved,totalEventDays,totalEventDaysAchieved,maxEventDays,maxRollingEvents,maxRollingAchievement,missingDays,totalPossibleDays,ewrCode,scenario,gauge,pu,state,sWSDLName,multigauge,rollingMaxInterEvent,rollingMaxInterEventAchieved
1962,1.0,4.0,4.0,4.0,29.5,29.5,118.0,118.0,72.0,72.0,1.0,0.0,365.0,LF2_S,hydrographs_LowerDarling_20250514,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,,100,1
1963,1.0,3.0,3.0,3.0,52.0,52.0,156.0,156.0,65.0,65.0,1.0,0.0,366.0,LF2_S,hydrographs_LowerDarling_20250514,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,,117,1
1964,1.0,2.0,2.0,2.0,45.5,45.5,91.0,91.0,50.0,50.0,1.0,0.0,365.0,LF2_S,hydrographs_LowerDarling_20250514,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,,207,1
1965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,LF2_S,hydrographs_LowerDarling_20250514,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,,572,1
1966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,LF2_S,hydrographs_LowerDarling_20250514,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,,937,0
1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,LF2_S,hydrographs_LowerDarling_20250514,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,,1303,0
1968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,LF2_S,hydrographs_LowerDarling_20250514,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,,1668,0
1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,LF2_S,hydrographs_LowerDarling_20250514,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,,2033,0
1970,1.0,1.0,1.0,1.0,151.0,151.0,151.0,151.0,151.0,151.0,1.0,0.0,365.0,LF2_S,hydrographs_LowerDarling_20250514,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,,2234,0
1971,1.0,2.0,2.0,2.0,35.5,35.5,71.0,71.0,60.0,60.0,1.0,0.0,366.0,LF2_S,hydrographs_LowerDarling_20250514,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,,112,1
1972,1.0,1.0,1.0,1.0,19.0,19.0,19.0,19.0,19.0,19.0,1.0,0.0,365.0,LF2_S,hydrographs_LowerDarling_20250514,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,,379,1
1973,1.0,2.0,2.0,2.0,137.5,137.5,275.0,275.0,265.0,265.0,1.0,0.0,365.0,LF2_S,hydrographs_LowerDarling_20250514,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,,144,1
1974,1.0,4.0,4.0,4.0,34.5,34.5,138.0,138.0,54.0,54.0,1.0,0.0,365.0,LF2_S,hydrographs_LowerDarling_20250514,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,,150,1
1975,1.0,1.0,1.0,1.0,157.0,157.0,157.0,157.0,157.0,157.0,1.0,0.0,366.0,LF2_S,hydrographs_LowerDarling_20250514,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,,238,1
1976,1.0,3.0,3.0,3.0,55.0,55.0,165.0,165.0,105.0,105.0,1.0,0.0,365.0,LF2_S,hydrographs_LowerDarling_20250514,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,,135,1
1977,1.0,1.0,1.0,1.0,84.0,84.0,84.0,84.0,84.0,84.0,1.0,0.0,365.0,LF2_S,hydrographs_LowerDarling_20250514,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,,281,1
1978,1.0,1.0,1.0,1.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0,365.0,LF2_S,hydrographs_LowerDarling_20250514,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,,301,1
1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,LF2_S,hydrographs_LowerDarling_20250514,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,,511,1
1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,LF2_S,hydrographs_LowerDarling_20250514,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,,876,0
1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,LF2_S,hydrographs_LowerDarling_20250514,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,,1241,0
1982,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0.0,365.0,LF2_S,hydrographs_LowerDarling_20250514,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,,1601,0
1983,1.0,1.0,1.0,1.0,353.0,353.0,353.0,353.0,353.0,353.0,1.0,0.0,366.0,LF2_S,hydrographs_LowerDarling_20250514,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,,13,1
1984,1.0,1.0,1.0,1.0,153.0,153.0,153.0,153.0,153.0,153.0,1.0,0.0,365.0,LF2_S,hydrographs_LowerDarling_20250514,425007,Lower Darling River - Weir 32 to downstream Burtundy,NSW,Lower Darling,,169,1
