scenario,gauge,planningUnit,state,sWSDLName,ewrCode,multigauge,eventYears,frequency,targetFrequency,achievementCount,achievementPerYear,eventCount,eventCountAll,eventsPerYear,eventsPerYearAll,averageEventLength,thresholdDays,maxInterEventYears,noDataDays,totalDays
hydrographs_LowerDarling_20250516,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,BF1_a,,24.0,38,50,24.0,0.375,24.0,133.0,0.375,2.078125,70.55639097744361,9384.0,1,162.0,22996.0
hydrographs_LowerDarling_20250516,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,BF1_b,,44.0,69,100,44.0,0.6875,44.0,133.0,0.6875,2.078125,70.55639097744361,9384.0,1,162.0,22996.0
hydrographs_LowerDarling_20250516,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,BK1_P,,23.0,36,65,26.0,0.40625,26.0,37.0,0.40625,0.578125,60.91891891891892,2254.0,3,162.0,22996.0
hydrographs_LowerDarling_20250516,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,BK1_S,,24.0,38,65,29.0,0.453125,29.0,39.0,0.453125,0.609375,62.717948717948715,2446.0,3,162.0,22996.0
hydrographs_LowerDarling_20250516,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,LF1,,38.0,59,70,48.0,0.75,48.0,64.0,0.75,1.0,54.015625,3457.0,3,162.0,22996.0
hydrographs_LowerDarling_20250516,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,LF2,,33.0,52,80,41.0,0.640625,41.0,62.0,0.640625,0.96875,55.17741935483871,3421.0,2,162.0,22996.0
hydrographs_LowerDarling_20250516,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,NestS1a,,16.0,25,75,16.0,0.25,16.0,22.0,0.25,0.34375,44.95454545454545,989.0,4,162.0,22996.0
hydrographs_LowerDarling_20250516,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,NestS1b,,15.0,23,75,15.0,0.234375,15.0,27.0,0.234375,0.421875,28.88888888888889,780.0,4,162.0,22996.0
hydrographs_LowerDarling_20250516,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,OB1_P,,15.0,23,50,16.0,0.25,16.0,25.0,0.25,0.390625,62.76,1569.0,4,162.0,22996.0
hydrographs_LowerDarling_20250516,414203,Murray River - Lock 15 weir pool to Lock 10,NSW,Lower Darling,OB1_S,,15.0,23,50,18.0,0.28125,18.0,26.0,0.28125,0.40625,63.73076923076923,1657.0,4,162.0,22996.0
