Date,412002_level,412002_flow,412005_level,412005_flow,412038_level,412038_flow,421001_level,421001_flow,421004_level,421004_flow,421011_level,421011_flow
2015-01-01,2.396,2923.33,0.43,74.489,0.94,827.564,0.443,667.808,1.644,286.277,-0.13,0
2015-01-02,2.449,3053.087,0.428,73.321,0.912,702.702,0.467,790.525,1.605,209.968,-0.13,0
2015-01-03,2.363,2842.534,0.411,64.353,0.902,658.651,0.467,792.278,1.604,213.094,-0.13,0
2015-01-04,2.332,2764.379,0.39,55.117,0.893,619.183,0.451,706.614,1.646,291.264,-0.13,0
2015-01-05,2.333,2765.984,0.376,49.083,0.903,662.331,0.435,626.207,1.678,362.385,-0.13,0
2015-01-06,2.308,2701.004,0.384,52.466,0.89,605.543,0.449,695.247,1.708,444.214,-0.13,0
2015-01-07,2.3,2677.565,0.409,63.444,0.884,580.764,0.469,798.851,1.732,515.898,-0.13,0
2015-01-08,2.307,2698.212,0.433,76.343,0.883,578.678,0.47,808.742,1.734,522.616,-0.13,0
2015-01-09,2.305,2693.014,0.453,93.134,0.902,659.108,0.481,869.899,1.678,361.466,-0.13,0
2015-01-10,2.258,2572.046,0.472,113.891,0.901,655.5,0.476,844.851,1.648,294.574,-0.13,0
2015-01-11,2.175,2359.038,0.49,143.025,0.874,547.751,0.453,717.907,1.661,322.355,-0.13,0
2015-01-12,2.153,2299.931,0.505,162.499,0.881,572.207,0.454,723.432,1.676,353.234,-0.13,0
2015-01-13,2.152,2298.457,0.515,175.321,0.876,551.679,0.494,953.505,1.669,339.405,-0.13,0
2015-01-14,2.102,2172.126,0.53,195.851,0.882,575.711,0.464,785.622,1.697,413.302,-0.13,0
2015-01-15,2.042,2023.228,0.553,232.179,0.874,545.877,0.411,514.801,1.678,358.706,-0.13,0
2015-01-16,2.027,1986.122,0.578,279.456,0.873,541.599,0.455,730.28,1.686,382.671,-0.13,0
2015-01-17,2.018,1964.185,0.604,335.633,0.865,515.636,0.478,850.48,1.735,526.414,-0.13,0
2015-01-18,2.02,1969.37,0.625,382.787,0.865,512.605,0.466,785.19,1.72,479.652,-0.13,0
2015-01-19,1.97,1835.096,0.638,406.584,0.862,505.307,0.458,744.133,1.665,331.483,-0.13,0
2015-01-20,1.954,1788.521,0.643,415.625,0.869,529.696,0.443,668.301,1.628,253.959,-0.13,0
