Date,412002_level,412002_flow,412005_level,412005_flow,412038_level,412038_flow,421001_level,421001_flow,421004_level,421004_flow,421011_level,421011_flow
2015-01-01,0.599,730.8325,0.1075,18.62225,0.235,206.891,0.11075,166.952,0.411,71.56925,-0.0325,0
2015-01-02,0.61225,763.27175,0.107,18.33025,0.228,175.6755,0.11675,197.63125,0.40125,52.492,-0.0325,0
2015-01-03,0.59075,710.6335,0.10275,16.08825,0.2255,164.66275,0.11675,198.0695,0.401,53.2735,-0.0325,0
2015-01-04,0.583,691.09475,0.0975,13.77925,0.22325,154.79575,0.11275,176.6535,0.4115,72.816,-0.0325,0
2015-01-05,0.58325,691.496,0.094,12.27075,0.22575,165.58275,0.10875,156.55175,0.4195,90.59625,-0.0325,0
2015-01-06,0.577,675.251,0.096,13.1165,0.2225,151.38575,0.11225,173.81175,0.427,111.0535,-0.0325,0
2015-01-07,0.575,669.39125,0.10225,15.861,0.221,145.191,0.11725,199.71275,0.433,128.9745,-0.0325,0
2015-01-08,0.57675,674.553,0.10825,19.08575,0.22075,144.6695,0.1175,202.1855,0.4335,130.654,-0.0325,0
2015-01-09,0.57625,673.2535,0.11325,23.2835,0.2255,164.777,0.12025,217.47475,0.4195,90.3665,-0.0325,0
2015-01-10,0.5645,643.0115,0.118,28.47275,0.22525,163.875,0.119,211.21275,0.412,73.6435,-0.0325,0
2015-01-11,0.54375,589.7595,0.1225,35.75625,0.2185,136.93775,0.11325,179.47675,0.41525,80.58875,-0.0325,0
2015-01-12,0.53825,574.98275,0.12625,40.62475,0.22025,143.05175,0.1135,180.858,0.419,88.3085,-0.0325,0
2015-01-13,0.538,574.61425,0.12875,43.83025,0.219,137.91975,0.1235,238.37625,0.41725,84.85125,-0.0325,0
2015-01-14,0.5255,543.0315,0.1325,48.96275,0.2205,143.92775,0.116,196.4055,0.42425,103.3255,-0.0325,0
2015-01-15,0.5105,505.807,0.13825,58.04475,0.2185,136.46925,0.10275,128.70025,0.4195,89.6765,-0.0325,0
2015-01-16,0.50675,496.5305,0.1445,69.864,0.21825,135.39975,0.11375,182.57,0.4215,95.66775,-0.0325,0
2015-01-17,0.5045,491.04625,0.151,83.90825,0.21625,128.909,0.1195,212.62,0.43375,131.6035,-0.0325,0
2015-01-18,0.505,492.3425,0.15625,95.69675,0.21625,128.15125,0.1165,196.2975,0.43,119.913,-0.0325,0
2015-01-19,0.4925,458.774,0.1595,101.646,0.2155,126.32675,0.1145,186.03325,0.41625,82.87075,-0.0325,0
2015-01-20,0.4885,447.13025,0.16075,103.90625,0.21725,132.424,0.11075,167.07525,0.407,63.48975,-0.0325,0
2015-01-21,0.49175,456.75475,0.16,102.832,0.21575,126.75175,0.10525,140.276,0.41125,72.2285,-0.0325,0
2015-01-22,0.4735,407.15375,0.15725,97.56825,0.21875,137.681,0.102,125.5855,0.41125,72.19575,-0.0325,0
2015-01-23,0.45725,365.1745,0.1525,86.9745,0.22275,152.3975,0.1045,138.16275,0.408,65.60475,-0.0325,0
2015-01-24,0.44825,342.545,0.14675,74.0855,0.22075,144.07275,0.12575,252.70625,0.409,67.765,-0.0325,0
2015-01-25,0.48225,432.14375,0.1415,63.7815,0.22175,148.3135,0.12725,262.49025,0.4085,66.27975,-0.0325,0
2015-01-26,0.46875,396.07,0.137,56.224,0.22225,150.16175,0.12775,265.0905,0.41325,76.3215,-0.0325,0
2015-01-27,0.4385,317.09,0.13375,51.03325,0.2175,132.8675,0.1215,226.0415,0.427,111.11125,-0.0325,0
2015-01-28,0.42375,279.09475,0.131,46.817,0.21325,118.52925,0.118,204.112,0.4325,127.60975,0.01225,0.167
2015-01-29,0.42425,280.37825,0.129,44.004,0.217,131.1375,0.11325,180.20075,0.416,82.9745,0.02425,0.20325
2015-01-30,0.43625,311.25375,0.127,41.494,0.2205,143.8935,0.099,115.81525,0.4155,81.32425,0.01125,0.0755
