Date,412002_level,412002_flow,412005_level,412005_flow,412038_level,412038_flow,421001_level,421001_flow,421004_level,421004_flow,421011_level,421011_flow
2015-01-01,9.584,11693.32,1.72,297.956,3.76,3310.256,1.772,2671.232,6.576,1145.108,-0.52,0
2015-01-02,9.796,12212.348,1.712,293.284,3.648,2810.808,1.868,3162.1,6.42,839.872,-0.52,0
2015-01-03,9.452,11370.136,1.644,257.412,3.608,2634.604,1.868,3169.112,6.416,852.376,-0.52,0
2015-01-04,9.328,11057.516,1.56,220.468,3.572,2476.732,1.804,2826.456,6.584,1165.056,-0.52,0
2015-01-05,9.332,11063.936,1.504,196.332,3.612,2649.324,1.74,2504.828,6.712,1449.54,-0.52,0
2015-01-06,9.232,10804.016,1.536,209.864,3.56,2422.172,1.796,2780.988,6.832,1776.856,-0.52,0
2015-01-07,9.2,10710.26,1.636,253.776,3.536,2323.056,1.876,3195.404,6.928,2063.592,-0.52,0
2015-01-08,9.228,10792.848,1.732,305.372,3.532,2314.712,1.88,3234.968,6.936,2090.464,-0.52,0
2015-01-09,9.22,10772.056,1.812,372.536,3.608,2636.432,1.924,3479.596,6.712,1445.864,-0.52,0
2015-01-10,9.032,10288.184,1.888,455.564,3.604,2622,1.904,3379.404,6.592,1178.296,-0.52,0
2015-01-11,8.7,9436.152,1.96,572.1,3.496,2191.004,1.812,2871.628,6.644,1289.42,-0.52,0
2015-01-12,8.612,9199.724,2.02,649.996,3.524,2288.828,1.816,2893.728,6.704,1412.936,-0.52,0
2015-01-13,8.608,9193.828,2.06,701.284,3.504,2206.716,1.976,3814.02,6.676,1357.62,-0.52,0
2015-01-14,8.408,8688.504,2.12,783.404,3.528,2302.844,1.856,3142.488,6.788,1653.208,-0.52,0
2015-01-15,8.168,8092.912,2.212,928.716,3.496,2183.508,1.644,2059.204,6.712,1434.824,-0.52,0
2015-01-16,8.108,7944.488,2.312,1117.824,3.492,2166.396,1.82,2921.12,6.744,1530.684,-0.52,0
2015-01-17,8.072,7856.74,2.416,1342.532,3.46,2062.544,1.912,3401.92,6.94,2105.656,-0.52,0
2015-01-18,8.08,7877.48,2.5,1531.148,3.46,2050.42,1.864,3140.76,6.88,1918.608,-0.52,0
2015-01-19,7.88,7340.384,2.552,1626.336,3.448,2021.228,1.832,2976.532,6.66,1325.932,-0.52,0
2015-01-20,7.816,7154.084,2.572,1662.5,3.476,2118.784,1.772,2673.204,6.512,1015.836,-0.52,0
2015-01-21,7.868,7308.076,2.56,1645.312,3.452,2028.028,1.684,2244.416,6.58,1155.656,-0.52,0
2015-01-22,7.576,6514.46,2.516,1561.092,3.5,2202.896,1.632,2009.368,6.58,1155.132,-0.52,0
2015-01-23,7.316,5842.792,2.44,1391.592,3.564,2438.36,1.672,2210.604,6.528,1049.676,-0.52,0
2015-01-24,7.172,5480.72,2.348,1185.368,3.532,2305.164,2.012,4043.3,6.544,1084.24,-0.52,0
2015-01-25,7.716,6914.3,2.264,1020.504,3.548,2373.016,2.036,4199.844,6.536,1060.476,-0.52,0
2015-01-26,7.5,6337.12,2.192,899.584,3.556,2402.588,2.044,4241.448,6.612,1221.144,-0.52,0
2015-01-27,7.016,5073.44,2.14,816.532,3.48,2125.88,1.944,3616.664,6.832,1777.78,-0.52,0
2015-01-28,6.78,4465.516,2.096,749.072,3.412,1896.468,1.888,3265.792,6.92,2041.756,0.196,2.672
2015-01-29,6.788,4486.052,2.064,704.064,3.472,2098.2,1.812,2883.212,6.656,1327.592,0.388,3.252
2015-01-30,6.98,4980.06,2.032,663.904,3.528,2302.296,1.584,1853.044,6.648,1301.188,0.18,1.208
2015-01-31,7.172,5480.536,2.008,633.032,3.532,2305.916,1.52,1640.516,6.54,1073.076,0.028,0.612
2015-02-01,7.184,5516.916,1.976,597.516,3.532,2310.304,1.7,2363.084,6.368,746.268,-0.04,0.436
2015-02-02,7.244,5663.348,1.948,553.748,3.532,2310.092,1.936,3560.324,6.392,792.268,-0.148,0.16
2015-02-03,7.144,5405.684,1.908,479.748,3.444,1996.564,1.916,3436.056,6.468,928.728,-0.088,0.308
2015-02-04,6.972,4954.268,1.896,462.88,3.428,1947.868,1.784,2727.092,6.324,668.536,-0.26,0.012
2015-02-05,6.888,4733.812,1.908,482.26,3.488,2157.864,1.836,2986.928,6.224,499.536,-0.344,0
2015-02-06,6.764,4427.46,1.936,529.284,3.532,2317.536,2.044,4242.108,6.744,1554.696,-0.396,0
